PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
Kepler-188 c                  ,       ,  0.285,      6.0,0.000, 90.0,  0.0,  0.0,1434.8,1206.5,1434.8,1206.5,  0.916,  1.160,  2.033,  2.145
Kepler-189 b                  ,       ,  0.108,     10.4,0.000, 90.0,  0.0,  0.0, 876.3, 736.8, 876.3, 736.8,  0.477,  0.604,  1.083,  1.142
Kepler-189 c                  ,       ,  0.212,     20.1,0.000, 90.0,  0.0,  0.0, 702.3, 590.6, 702.3, 590.6,  0.477,  0.604,  1.083,  1.142
Kepler-18 b                   ,  0.022,  0.178,      3.5,0.000, 90.0,  0.0,  0.0,1539.0,1294.1,1539.0,1294.1,  0.743,  0.940,  1.680,  1.772
Kepler-18 c                   ,  0.054,  0.490,      7.6,0.000, 90.0,  0.0,  0.0,1186.5, 997.7,1186.5, 997.7,  0.743,  0.940,  1.680,  1.772
Kepler-18 d                   ,  0.052,  0.623,     14.9,0.000, 90.0,  0.0,  0.0, 950.4, 799.2, 950.4, 799.2,  0.743,  0.940,  1.680,  1.772
Kepler-190 b                  ,       ,  0.139,      2.0,0.000, 90.0,  0.0,  0.0,1511.8,1271.3,1511.8,1271.3,  0.487,  0.617,  1.112,  1.173
Kepler-190 c                  ,       ,  0.130,      3.8,0.000, 90.0,  0.0,  0.0,1234.4,1038.0,1234.4,1038.0,  0.487,  0.617,  1.112,  1.173
Kepler-191 b                  ,       ,  0.120,      9.9,0.000, 90.0,  0.0,  0.0, 912.6, 767.4, 912.6, 767.4,  0.510,  0.646,  1.157,  1.220
Kepler-191 c                  ,       ,  0.166,     17.7,0.000, 90.0,  0.0,  0.0, 752.4, 632.7, 752.4, 632.7,  0.510,  0.646,  1.157,  1.220
Kepler-192 b                  ,       ,  0.244,      9.9,0.000, 90.0,  0.0,  0.0,1052.4, 884.9,1052.4, 884.9,  0.694,  0.879,  1.563,  1.649
Kepler-192 c                  ,       ,  0.249,     21.2,0.000, 90.0,  0.0,  0.0, 815.2, 685.5, 815.2, 685.5,  0.694,  0.879,  1.563,  1.649
Kepler-193 b                  ,       ,  0.213,     11.4,0.000, 90.0,  0.0,  0.0,1196.4,1006.0,1196.4,1006.0,  1.003,  1.271,  2.214,  2.335
Kepler-193 c                  ,       ,  0.245,     50.7,0.000, 90.0,  0.0,  0.0, 728.4, 612.5, 728.4, 612.5,  1.003,  1.271,  2.214,  2.335
Kepler-194 b                  ,       ,  0.135,      2.1,0.000, 90.0,  0.0,  0.0,1971.1,1657.5,1971.1,1657.5,  0.834,  1.057,  1.850,  1.951
Kepler-194 c                  ,       ,  0.231,     17.3,0.000, 90.0,  0.0,  0.0, 974.2, 819.2, 974.2, 819.2,  0.834,  1.057,  1.850,  1.951
Kepler-194 d                  ,       ,  0.214,     52.8,0.000, 90.0,  0.0,  0.0, 672.4, 565.4, 672.4, 565.4,  0.834,  1.057,  1.850,  1.951
Kepler-195 b                  ,       ,  0.181,      8.3,0.000, 90.0,  0.0,  0.0, 972.5, 817.7, 972.5, 817.7,  0.511,  0.647,  1.158,  1.221
Kepler-195 c                  ,       ,  0.138,     34.1,0.000, 90.0,  0.0,  0.0, 608.0, 511.2, 608.0, 511.2,  0.511,  0.647,  1.158,  1.221
Kepler-196 b                  ,       ,  0.170,     20.7,0.000, 90.0,  0.0,  0.0, 699.0, 587.8, 699.0, 587.8,  0.478,  0.606,  1.091,  1.151
Kepler-196 c                  ,       ,  0.200,     47.4,0.000, 90.0,  0.0,  0.0, 530.1, 445.7, 530.1, 445.7,  0.478,  0.606,  1.091,  1.151
Kepler-197 b                  ,       ,  0.091,      5.6,0.000, 90.0,  0.0,  0.0,1487.3,1250.7,1487.3,1250.7,  0.896,  1.134,  1.989,  2.098
Kepler-197 c                  ,       ,  0.110,     10.3,0.000, 90.0,  0.0,  0.0,1214.4,1021.2,1214.4,1021.2,  0.896,  1.134,  1.989,  2.098
Kepler-197 d                  ,       ,  0.109,     15.7,0.000, 90.0,  0.0,  0.0,1056.1, 888.1,1056.1, 888.1,  0.896,  1.134,  1.989,  2.098
Kepler-197 e                  ,       ,  0.081,     25.2,0.000, 90.0,  0.0,  0.0, 899.6, 756.5, 899.6, 756.5,  0.896,  1.134,  1.989,  2.098
Kepler-198 b                  ,       ,  0.252,     17.8,0.000, 90.0,  0.0,  0.0, 856.1, 719.9, 856.1, 719.9,  0.665,  0.842,  1.493,  1.575
Kepler-198 c                  ,       ,  0.220,     49.6,0.000, 90.0,  0.0,  0.0, 608.8, 512.0, 608.8, 512.0,  0.665,  0.842,  1.493,  1.575
Kepler-199 b                  ,       ,  0.277,     23.6,0.000, 90.0,  0.0,  0.0, 801.8, 674.2, 801.8, 674.2,  0.700,  0.887,  1.570,  1.656
Kepler-199 c                  ,       ,  0.290,     67.1,0.000, 90.0,  0.0,  0.0, 567.0, 476.8, 567.0, 476.8,  0.700,  0.887,  1.570,  1.656
